,,,,,,,,,,,,,,,,,,,,,,,,,
,"1 AD","1 CD","1 ID","2 ID","3 ID","4 ID","10 MTN","25 ID","82 ABN","101 AA","USAREUR","USARPAC","SOCOM","INSCOM","CIDCOM","TRADOC","FORCSCOM","FIRES BDE","SUST BDE","MNVR ENH","AVIATION","MEDCOM","USACE","USAMC","USAIMCOM"
,"6th DSTB","5th DSTB","1st DSTB","2nd DSTB","3rd DSTB","4th DSTB","10th DSTB","25th DSTB","82nd DSTB (A)","101st DSTB (AA)","EUR-TF","PAC-TF","75th RGR REGT (A)","66th MI BDE *EUR)","3rd MP GRP(CID)","ACESSIONS CMD","1st US ARMY","41st FIRES BDE","1st SB","1st MEB","12th CBT AVN BDE",,,,
,"1/1 AD","1/1 CD","1/1 ID","1/2 ID","1/3 ID","1/4 ID","1/0 MTN","1/25 ID","1/82 ABN","1/101 AA ","TSTB EURTF","TSTB PACTF","75th RSTB (A)","1st MI BN","10th MP BN (CID)","ARMY CAP INTEG CTR","I Corps","1-21 FA (MLRS)","541st CSSB","2nd MEB","2-159 AVN (A/R)(AH64)",,,,
,"33rd BSTB","37th BSTB","1st BSTB","5th BSTB","9th BSTB","13th BSTB","17th BSTB","21st BSTB","25th BSTB (A)","29th BSTB (AA)","173rd ABN BCT","3rd ACR","1/75 RGR","2nd MI BN","100th MP BN (CID)","COMB ARMS CTR","III Corps","2-20 FA (MLRS)","68th CSSB","3rd MEB","3-159 AVN (A/R)(AH64)",,,,
,"1-37 AR","1-7 CAV","1-63 AR","2-9 IN","3-69 AR","1-22 IN","1-87 IN","1-5 IN","1-504 PIR","1-327 IN (AA)","173rd BSTB (A)","3 BSTB","2/75 RGR","105th MI BN","FT BENNING DISTR (CID)","COMB ARMS SPT CMD","XVIII Abn Corps","589th BSB","168th BSB","4th MEB","3-158 AVN (ASLT)(UH60)",,,,
,"1-36 AR","2-5 CAV","1-16 IN","1-72 AR","2-7 IN","1-66 AR","2-22 IN","3-21 IN","2-504 PIR","2-327 IN (AA)","1-503 AIR","1/3 ACR","3/75 RGR","302nd MI BN","WASH DISTR (CID)","TRAC ANA CTR","US ARMY RES","75th FIRES BDE","3rd SB",,"5-158 AVN (GS)(UH60/CH47/HH60)",,,,
,"2-3 FA","2-8 CAV","4-4 CAV","4-7 CAV","5-7 CAV","7-10 CAV","1-71 CAV","1-24 IN","3-73 CAV (A)","2-320 FA (AA)","2-503 AIR","2/3 ACR","RTB (A)","116th MI GRP (NSA/CSS)","75th MP DET (CID)","CALL",,"1-17 FA (THW)","87th CSSB","ENGINEER","412th ASB",,,,
,"6-1 CAV","1-82 FA","1-5 FA","1-15 FA","1-41 FA","4-42 FA","3-6 FA","5-1 CAV","3-319 FA (A)","1-32 CAV (AA)","1-91 CAV (A)","3/3 ACR","RSB (A)","300th MI BDE (LANG)","6th MP GRP (CID)",,,"2-18 FA (MLRS)","260th QM BN","18th EN BDE",,,,,
,"501 BSB","115 BSB","101 BSB","302 BSB","3 BSB","4 BSB","10 BSB","2-8 FA","307 BSB (A)","426 BSB (AA)","4-319 FA (A)","4/3 ACR (AVN)","1 SFG (A)","205th MI BDE","202nd MP GRP (CID)",,,"3-13 FA (MLRS)","92nd EN BN","20th EN BDE (A)",,,,,
,"2/1 AD","2/1 CD","2/1 ID","2/2 ID","2/3 ID","2/4 ID","2/10 MTN","25 BSB","2/82 ABN","2/101 AA","173rd BSB (A)","RSS/3 ACR","1 GSTB (SO)(A)","165th MI BN","701st MP GRP (CID)",,,"100th BSB","4th SB","27th EN BN (A)",,,,,
,"34th BSTB","38th BSTB","2nd BSTB","6th BSTB","10th BSTB","14th BSTB","18th BSTB","2/25 ID","26th BSTB","30th BSTB","2nd SCR","11th ACR","1/1 SF (A)","207th MI BDE","USA CIDLAB",,,"212th FIRES BDE","553rd CSSB","37th EN BN (A)",,,,,
